user_id	track_id	rating
529371807	330	5.0
529371807	331	5.0
529371807	332	4.0
529371807	333	4.0
529371807	334	4.0
529371807	335	4.0
529371807	336	4.0
529371807	337	4.0
529371807	338	4.0
529371807	340	4.0
529371807	341	3.0
529371807	18	3.0
529371807	343	3.0
529371807	344	3.0
529371807	345	3.0
529371807	346	3.0
529371807	348	3.0
529371807	349	3.0
529371807	351	3.0
529371807	352	2.0
529371807	353	2.0
529371807	354	2.0
529371807	355	2.0
529371807	299	2.0
529371807	357	2.0
529371807	358	2.0
529371807	359	2.0
529371807	360	2.0
529371807	361	2.0
529371807	364	2.0
529371807	365	2.0
529371807	366	2.0
529371807	367	2.0
529371807	11	2.0
529371807	369	2.0
529371807	370	2.0
529371807	372	2.0
529371807	373	2.0
529371807	374	2.0
529371807	376	2.0
529371807	377	2.0
529371807	378	2.0
529371807	379	2.0
529371807	380	2.0
529371807	382	2.0
529371807	383	2.0
529371807	384	2.0
529371807	385	2.0
529371807	386	1.0
529371807	387	1.0
529371807	388	1.0
529371807	390	1.0
529371807	391	1.0
529371807	392	1.0
529371807	393	1.0
529371807	395	1.0
529371807	396	1.0
529371807	397	1.0
529371807	399	1.0
529371807	400	1.0
529371807	401	1.0
529371807	212	1.0
529371807	403	1.0
529371807	262	1.0
529371807	405	1.0
529371807	406	1.0
529371807	408	1.0
529371807	409	1.0
529371807	410	1.0
529371807	412	1.0
529371807	413	1.0
529371807	414	1.0
529371807	415	1.0
529371807	416	1.0
529371807	418	1.0
529371807	419	1.0
529371807	421	1.0
529371807	422	1.0
529371807	423	1.0
529371807	424	1.0
529371807	426	1.0
529371807	427	1.0
529371807	429	1.0
53447154	2530	5.0
53447154	2484	4.0
53447154	1747	3.0
53447154	1675	3.0
53447154	1671	3.0
53447154	2535	3.0
53447154	1712	3.0
53447154	1654	3.0
53447154	1640	3.0
53447154	2161	3.0
53447154	1670	3.0
53447154	1645	3.0
53447154	2543	2.0
53447154	2544	2.0
53447154	1680	2.0
53447154	142	2.0
53447154	933	2.0
53447154	1691	2.0
53447154	2552	2.0
53447154	1685	2.0
53447154	1657	2.0
53447154	116	2.0
53447154	1631	2.0
53447154	2562	2.0
53447154	1656	2.0
53447154	2564	2.0
53447154	1662	2.0
53447154	2566	2.0
53447154	2567	2.0
53447154	1649	2.0
53447154	2569	2.0
53447154	134	1.0
53447154	775	1.0
53447154	2573	1.0
53447154	2574	1.0
53447154	1643	1.0
53447154	1646	1.0
53447154	2577	1.0
53447154	2580	1.0
53447154	2581	1.0
53447154	1637	1.0
53447154	501	1.0
53447154	2585	1.0
53447154	2586	1.0
53447154	2587	1.0
53447154	1714	1.0
53447154	2459	1.0
53447154	2590	1.0
53447154	2591	1.0
53447154	2592	1.0
53447154	523	1.0
53447154	2594	1.0
53447154	163	1.0
53447154	2596	1.0
53447154	1659	1.0
53447154	2600	1.0
53447154	2601	1.0
53447154	2602	1.0
53447154	1689	1.0
53447154	2456	1.0
53447154	772	1.0
53447154	2610	1.0
53447154	1713	1.0
53447154	2612	1.0
53447154	2055	1.0
53447154	2615	1.0
53447154	2616	1.0
53447154	2617	1.0
53447154	2145	1.0
53447154	92	1.0
53447154	2621	1.0
53447154	1756	1.0
53447154	1639	1.0
53447154	152	1.0
53447154	1638	1.0
53447154	1658	1.0
53447154	2629	1.0
974230707	1338	4.0
974230707	2184	2.0
974230707	2837	2.0
974230707	1392	2.0
974230707	166	2.0
974230707	523	2.0
974230707	2845	2.0
974230707	2850	1.0
