user_id:token	item_id:token	rating:float	timestamp:float
18	2987	5	978154285
18	2989	5	978153344
18	2622	5	978152574
18	648	4	978153370
18	2628	4	978152515
18	1682	4	978156582
18	1683	5	978157434
18	1688	4	978154834
18	2123	3	978155097
18	2052	3	978155273
18	3793	5	978153146
18	2054	3	978152541
18	2993	5	978153192
18	1185	5	978156822
18	1259	5	978154361
18	1186	1	978156664
18	653	3	978152541
18	2701	3	978154031
18	586	4	978155233
18	3438	2	978152574
18	1907	5	978154962
18	588	5	978154798
18	3439	1	978153977
18	589	5	978153053
18	1690	1	978153649
18	222	3	978156638
18	1	4	978154768
18	2	2	978152541
18	153	3	978153795
18	158	4	978154534
18	2133	3	978154534
18	2137	5	978154798
18	1408	5	978153146
18	3877	1	978154123
18	2139	5	978154798
18	1193	4	978156168
18	1196	5	978152973
18	590	4	978154388
18	3440	1	978153811
18	1197	5	978154361
18	736	1	978154572
18	1198	5	978152973
18	737	1	978154005
18	592	4	978153219
18	594	5	978154834
18	595	5	978154834
18	596	4	978154834
18	2718	2	978157105
18	3448	4	978157295
18	2573	4	978157068
18	1918	3	978155837
18	302	5	978156954
18	232	4	978156766
18	163	5	978153303
18	2140	4	978152454
18	1411	5	978156232
18	2141	5	978155039
18	2142	3	978155072
18	168	1	978154572
18	2143	5	978152573
18	2145	3	978157195
18	1344	3	978154296
18	1271	5	978156999
18	2076	3	978156794
18	1274	5	978154332
18	741	5	978154907
18	3889	1	978154050
18	1275	5	978153241
18	2078	4	978154834
18	2723	1	978154589
18	3526	3	978156893
18	3527	2	978153241
18	313	4	978154962
18	1784	4	978156849
18	249	4	978157082
18	2153	3	978154123
18	2080	5	978154798
18	2081	5	978154931
18	2082	4	978155318
18	2083	5	978155293
18	1282	5	978154834
18	2085	4	978154907
18	1357	5	978156876
18	2087	4	978152486
18	2089	4	978154982
18	3461	3	978154388
18	2807	1	978153701
18	2735	3	978154650
18	2739	5	978156836
18	3396	5	978155165
18	3397	5	978155207
18	3398	5	978155234
18	3399	4	978155339
18	327	3	978153894
18	1500	4	978155654
18	3034	5	978154834
18	3108	4	978156893
18	2161	5	978152486
18	2090	5	978154982
18	902	5	978152203
18	2093	3	978152515
18	1291	5	978153033
18	2167	4	978153370
18	2096	5	978154907
18	1367	1	978152203
18	838	4	978157335
18	839	1	978154050
18	1005	1	978155434
18	1873	5	978156055
18	3479	5	978154409
18	405	1	978153874
18	10	5	978153344
18	1876	3	978153584
18	260	5	978152454
18	261	5	978157259
18	262	5	978155186
18	266	3	978157412
18	17	4	978156535
18	2248	4	978156430
18	1377	2	978153649
18	1378	4	978153683
18	1379	3	978153874
18	3623	1	978153453
18	919	5	978154361
18	1013	3	978155293
18	2826	4	978153540
18	778	5	978156753
18	1954	3	978153076
18	1882	1	978154104
18	412	5	978156986
18	1956	4	978156476
